Title,Due_Date,Completed
Python OOP Project,10/06/2026,True
Database Management Assignment,15/06/2026,True
Machine Learning Research,20/06/2026,False
Data Structures Practice,22/06/2026,False
Computer Networks Report,25/06/2026,True
Operating Systems Lab,28/06/2026,False
Flask Web Application,30/06/2026,False
Artificial Intelligence Mini Project,05/07/2026,False
Linear Algebra Assignment,08/07/2026,True
Statistics Quiz Preparation,10/07/2026,False
Cloud Computing Report,12/07/2026,False
Java Programming Project,15/07/2026,False
