Title,Priority,Deadline,Completed
Complete Python Project,High,29/06/2026,False
Revise DBMS Unit 2,Medium,30/06/2026,False
Upload Project to GitHub,High,28/06/2026,True
Practice DSA for 1 Hour,High,27/06/2026,False
Read AI & ML Notes,Low,02/07/2026,False
Prepare for Presentation,Medium,01/07/2026,False
Complete Assignment Report,High,27/06/2026,True
Watch Python OOP Tutorial,Low,03/07/2026,False
Organize Study Notes,Low,04/07/2026,True
Update LinkedIn Profile,Medium,30/06/2026,False
Prepare Resume,High,05/07/2026,False
Practice Aptitude Questions,Medium,02/07/2026,True
python project,high,30/06/2026,True
